Age,Department,Education,JobRole,YearsExperience,MonthlyIncome,TrainingCount,WorkLifeBalance,JobSatisfaction,OverTime,PerformanceRating
54,Finance,Bachelors,Accountant,31,109929,6,4,2,0,2
26,Operations,MBA,Operations Executive,5,71908,4,1,2,0,2
45,HR,Masters,HR Executive,12,102820,2,2,3,1,1
53,HR,Diploma,HR Executive,26,66604,3,1,3,1,3
51,Finance,MBA,Finance Analyst,5,35139,4,4,1,0,1
46,HR,MBA,HR Executive,17,30499,1,3,4,0,1
52,IT,MBA,System Analyst,14,71616,1,4,4,1,1
50,Sales,Masters,Sales Executive,5,49725,4,4,4,1,3
23,Operations,Bachelors,Operations Manager,2,91361,3,4,3,0,1
32,HR,MBA,HR Manager,8,23552,5,1,1,0,1
34,Sales,Diploma,Sales Executive,0,42026,4,3,1,0,1
53,IT,Diploma,Data Analyst,29,66137,1,4,3,1,1
24,HR,Masters,HR Manager,1,105696,6,2,1,1,1
57,Sales,Diploma,Sales Manager,27,111478,3,3,4,0,3
53,Finance,Masters,Finance Analyst,27,81730,3,1,2,0,2
22,Sales,Masters,Sales Executive,1,114953,1,2,2,1,2
46,Finance,Masters,Accountant,7,46558,5,1,4,0,3
27,Finance,Bachelors,Accountant,1,104843,2,2,4,1,1
49,Finance,Bachelors,Accountant,13,44908,2,3,4,0,1
55,Operations,Masters,Operations Executive,11,44800,1,4,1,0,1
33,Sales,Diploma,Sales Manager,12,81531,2,4,4,1,1
37,Finance,Masters,Accountant,1,34288,6,1,3,0,1
56,Sales,MBA,Sales Manager,23,37741,3,2,1,0,1
23,IT,MBA,System Analyst,0,98184,2,4,2,1,2
27,IT,MBA,Data Analyst,2,104993,6,3,2,0,2
25,Operations,Masters,Operations Executive,0,77355,5,4,3,1,1
51,Operations,Masters,Operations Executive,23,63611,3,1,3,1,3
38,Operations,Masters,Operations Executive,12,61066,4,4,4,0,3
57,IT,Bachelors,Data Analyst,10,20478,4,3,4,1,3
30,Sales,Masters,Sales Executive,0,27024,5,2,2,0,2
45,Sales,Diploma,Sales Manager,9,53537,1,2,3,0,1
50,Operations,Diploma,Operations Executive,25,90955,6,2,3,1,3
43,Operations,MBA,Operations Manager,14,98632,6,1,3,1,3
56,Finance,Bachelors,Finance Analyst,31,20151,3,3,4,0,3
42,Finance,Diploma,Finance Analyst,21,55898,1,3,1,0,1
37,Sales,Bachelors,Sales Manager,5,91491,6,2,1,1,1
29,Sales,MBA,Sales Executive,2,61219,1,3,4,0,1
58,IT,Bachelors,System Analyst,8,22247,5,3,2,0,2
58,Finance,Diploma,Finance Analyst,19,26249,4,2,2,1,2
48,Finance,Masters,Finance Analyst,19,94528,6,1,1,0,1
54,Finance,Diploma,Accountant,30,69889,2,3,2,1,2
31,Operations,MBA,Operations Executive,0,37272,2,3,2,0,2
50,Finance,Masters,Accountant,11,111570,1,2,2,0,2
31,IT,MBA,Data Scientist,8,99240,4,4,1,0,1
33,IT,Masters,Data Scientist,7,112712,4,3,1,1,1
26,IT,Bachelors,Data Scientist,0,66231,5,4,1,0,1
36,HR,Masters,HR Executive,13,26564,1,3,1,1,1
46,Sales,Diploma,Sales Manager,8,70872,1,1,4,0,1
39,Finance,Masters,Finance Analyst,17,24615,1,3,4,1,1
44,HR,Diploma,HR Executive,15,32305,6,3,2,1,2
54,Sales,Diploma,Sales Executive,18,34845,6,3,1,0,1
44,Sales,MBA,Sales Executive,17,22396,5,3,4,1,3
30,Sales,Diploma,Sales Executive,4,44988,3,3,3,1,3
36,Finance,Diploma,Accountant,12,90205,3,3,2,1,2
46,IT,Masters,Data Analyst,24,111838,2,2,1,0,1
33,Sales,MBA,Sales Executive,11,106502,5,1,1,0,1
57,HR,Bachelors,HR Executive,27,85074,3,1,1,0,1
46,Operations,Bachelors,Operations Executive,20,54813,1,3,1,1,1
30,HR,Diploma,HR Manager,7,106467,3,3,2,1,2
49,Finance,Bachelors,Accountant,8,38651,3,2,3,1,3
28,Finance,Bachelors,Finance Analyst,4,26526,2,4,1,0,1
29,Sales,Diploma,Sales Executive,0,27604,6,4,4,0,1
41,HR,MBA,HR Manager,1,49109,4,3,3,1,1
32,IT,Masters,Data Analyst,10,114978,2,1,1,0,1
55,Sales,Masters,Sales Manager,22,105988,1,2,2,1,2
58,Finance,Bachelors,Finance Analyst,25,108491,4,3,4,1,3
24,Sales,Diploma,Sales Manager,0,119051,6,4,4,0,1
24,Finance,Bachelors,Accountant,3,97645,2,1,2,0,2
45,Operations,Bachelors,Operations Executive,19,41061,6,1,4,0,3
37,Finance,Bachelors,Accountant,15,33166,1,2,2,0,2
24,IT,MBA,System Analyst,0,32330,1,1,1,1,1
28,IT,Masters,Data Analyst,3,34556,6,3,2,1,2
49,HR,Diploma,HR Executive,6,89925,4,4,3,1,3
38,Sales,MBA,Sales Executive,16,53455,1,4,4,1,1
32,IT,Bachelors,Data Scientist,5,38466,1,1,4,1,1
43,HR,MBA,HR Executive,8,76694,4,1,3,1,3
40,HR,Bachelors,HR Executive,7,59754,2,1,2,0,2
38,IT,Masters,Software Engineer,8,81601,1,3,1,1,1
48,IT,Diploma,System Analyst,13,75215,5,1,3,1,3
49,Operations,MBA,Operations Executive,17,95301,5,1,4,0,3
46,Operations,Masters,Operations Executive,25,30040,3,1,2,1,2
28,Sales,MBA,Sales Executive,6,75906,3,2,4,0,3
51,IT,MBA,Software Engineer,15,62835,3,2,1,0,1
38,Sales,MBA,Sales Manager,4,37370,4,3,1,1,1
52,Operations,Bachelors,Operations Manager,0,94402,3,2,3,0,1
26,Operations,Masters,Operations Executive,1,32131,4,3,3,1,1
32,IT,Masters,Data Scientist,11,32517,6,1,3,0,3
58,Operations,MBA,Operations Manager,23,37813,4,1,3,1,3
27,Finance,Bachelors,Accountant,4,67098,4,4,3,1,3
24,Sales,Masters,Sales Executive,1,69892,1,1,1,0,1
22,Finance,Diploma,Finance Analyst,1,75217,1,1,3,1,1
49,HR,MBA,HR Manager,5,88404,5,1,2,1,2
33,Finance,Diploma,Finance Analyst,8,29984,1,1,1,0,1
42,IT,Bachelors,System Analyst,18,115795,3,4,3,0,3
50,Sales,Masters,Sales Manager,14,75786,4,4,2,1,2
30,Operations,Diploma,Operations Executive,2,24059,6,3,2,0,2
47,HR,Diploma,HR Executive,3,79324,2,1,4,0,1
37,IT,MBA,Data Analyst,12,63910,1,4,1,0,1
51,Finance,Masters,Finance Analyst,27,87437,4,3,4,1,3
56,Operations,Masters,Operations Manager,4,48562,2,3,2,0,2
49,Sales,Bachelors,Sales Executive,4,79472,4,1,4,1,3
32,HR,Bachelors,HR Executive,3,75115,6,4,4,1,3
50,Finance,Diploma,Finance Analyst,13,97550,1,4,1,1,1
47,IT,MBA,Software Engineer,13,91736,1,2,4,0,1
50,Operations,Diploma,Operations Executive,4,110843,3,4,1,1,1
52,Finance,MBA,Finance Analyst,29,79691,6,1,2,0,2
52,HR,MBA,HR Executive,28,43401,3,3,4,1,3
39,Sales,Diploma,Sales Executive,1,74880,3,1,3,1,1
37,Finance,Masters,Accountant,11,49002,5,1,4,0,3
30,HR,MBA,HR Manager,8,56696,1,2,3,1,1
24,HR,Diploma,HR Manager,3,94796,5,2,4,0,3
39,HR,MBA,HR Manager,16,106441,1,1,1,1,1
25,IT,Masters,Software Engineer,0,33078,3,3,4,0,1
29,Finance,Bachelors,Finance Analyst,8,90292,2,2,2,0,2
28,Operations,Masters,Operations Manager,7,62322,3,1,4,0,3
37,Sales,MBA,Sales Executive,3,94903,5,3,4,0,3
49,HR,MBA,HR Executive,19,65668,2,4,2,1,2
58,IT,Masters,System Analyst,29,96495,6,3,3,0,3
52,Finance,Masters,Finance Analyst,30,79385,6,4,1,0,1
49,HR,MBA,HR Executive,3,73281,5,4,3,1,3
29,IT,Masters,Data Scientist,6,30379,3,2,4,0,3
22,HR,Masters,HR Executive,1,99713,1,2,4,1,1
28,Sales,Masters,Sales Manager,0,62189,3,4,3,1,1
47,Finance,MBA,Accountant,11,80926,1,2,3,1,1
41,IT,Masters,Data Scientist,0,110990,5,4,1,1,1
39,Operations,MBA,Operations Manager,11,112231,1,1,4,1,1
32,HR,MBA,HR Executive,11,118019,2,4,2,1,2
29,HR,MBA,HR Manager,1,93109,1,4,2,1,2
33,Finance,Bachelors,Accountant,10,42181,4,4,3,1,3
41,Operations,Diploma,Operations Manager,3,95462,2,4,3,1,1
33,Sales,Masters,Sales Executive,7,26535,4,1,2,1,2
52,IT,Masters,System Analyst,11,103359,4,3,3,0,3
24,IT,Diploma,Software Engineer,2,42122,6,3,3,0,1
58,Finance,Masters,Finance Analyst,26,94619,5,3,2,0,2
57,Sales,Masters,Sales Executive,17,118094,6,4,1,0,1
53,Operations,Masters,Operations Manager,27,56018,1,4,3,1,1
46,Operations,Masters,Operations Executive,10,42131,6,1,2,0,2
47,Operations,Masters,Operations Manager,11,77521,5,1,1,0,1
33,HR,Masters,HR Executive,2,87976,3,4,3,1,1
32,IT,Masters,System Analyst,5,32906,3,3,4,1,3
22,Operations,Masters,Operations Executive,1,104828,6,2,2,0,2
49,Operations,Masters,Operations Manager,0,84888,3,4,3,1,1
57,HR,Bachelors,HR Manager,3,29639,6,2,1,0,1
27,Finance,Bachelors,Accountant,4,57434,4,4,2,0,2
37,IT,Diploma,Data Analyst,0,96491,6,4,3,0,1
29,Sales,Diploma,Sales Executive,5,40678,6,2,4,1,3
41,IT,MBA,Software Engineer,10,88615,6,1,1,1,1
40,Finance,Diploma,Accountant,14,88264,4,1,2,1,2
25,IT,MBA,Software Engineer,2,77873,5,4,2,0,2
41,HR,MBA,HR Executive,13,97565,1,4,1,1,1
54,IT,MBA,Data Analyst,27,115888,2,4,2,1,2
38,Sales,Bachelors,Sales Executive,11,91539,6,2,3,0,3
23,HR,MBA,HR Manager,1,48266,5,4,2,0,2
27,HR,Diploma,HR Manager,6,52639,2,4,4,0,1
33,Operations,Masters,Operations Manager,2,33484,6,4,2,0,2
55,IT,Diploma,Data Analyst,19,100816,5,3,1,0,1
30,Operations,MBA,Operations Executive,2,86711,3,2,4,1,1
30,Operations,Bachelors,Operations Manager,7,67105,6,3,1,0,1
57,IT,Diploma,Software Engineer,14,69774,4,3,4,0,3
50,Sales,MBA,Sales Executive,2,47136,1,3,1,0,1
34,Finance,MBA,Accountant,12,114620,2,1,1,0,1
39,Operations,MBA,Operations Manager,2,50948,1,2,1,0,1
42,Finance,Diploma,Finance Analyst,8,95090,5,1,1,0,1
58,Finance,Bachelors,Finance Analyst,3,66337,5,4,4,1,3
30,HR,Diploma,HR Executive,9,33951,4,3,3,0,3
48,Finance,Masters,Finance Analyst,21,53516,5,2,1,0,1
58,Operations,Masters,Operations Manager,29,36326,4,4,1,0,1
22,Finance,Diploma,Accountant,0,94667,2,3,2,1,2
56,Sales,MBA,Sales Executive,31,61046,3,2,1,1,1
47,Finance,Bachelors,Accountant,8,99593,5,4,3,1,3
28,Sales,Bachelors,Sales Manager,1,51780,5,2,2,0,2
50,HR,MBA,HR Executive,28,62800,4,3,4,1,3
45,Operations,MBA,Operations Executive,4,95139,1,4,4,1,1
39,Sales,Masters,Sales Executive,16,89922,6,1,1,0,1
30,IT,Bachelors,System Analyst,1,33463,3,2,2,1,2
35,Operations,MBA,Operations Manager,12,119674,4,3,2,0,2
44,Finance,Diploma,Accountant,10,55406,2,2,4,1,1
39,Sales,MBA,Sales Executive,9,37672,1,4,4,1,1
55,Finance,Diploma,Finance Analyst,14,70394,1,1,2,1,2
28,Sales,Masters,Sales Manager,3,32556,2,2,4,0,1
57,HR,Bachelors,HR Manager,14,51639,3,4,3,0,3
39,Sales,Masters,Sales Executive,2,68077,1,4,1,0,1
41,Finance,Masters,Accountant,8,91812,2,1,3,1,1
33,Finance,Bachelors,Accountant,7,73037,4,3,2,1,2
22,Operations,Masters,Operations Manager,0,40774,2,3,3,0,1
22,Finance,Diploma,Accountant,0,48975,3,4,2,0,2
23,IT,Masters,Data Analyst,1,65984,1,3,4,1,1
40,IT,Diploma,Data Analyst,12,71040,6,4,2,0,2
36,Sales,Diploma,Sales Manager,4,119054,4,4,2,0,2
41,Operations,Masters,Operations Executive,2,51656,6,2,4,0,1
53,Finance,MBA,Accountant,26,45527,1,3,2,1,2
36,Sales,Bachelors,Sales Manager,13,49134,1,2,2,1,2
22,Finance,Bachelors,Accountant,0,108773,4,3,1,1,1
34,Operations,Bachelors,Operations Manager,2,87091,2,4,4,1,1
22,Finance,Bachelors,Finance Analyst,0,53195,2,3,3,0,1
47,IT,MBA,Software Engineer,12,97169,3,1,4,0,3
48,IT,Bachelors,Data Scientist,12,95504,2,4,1,1,1
48,IT,Bachelors,Data Analyst,16,99116,1,1,4,0,1
42,Sales,Diploma,Sales Manager,7,62624,5,1,1,1,1
45,Sales,Diploma,Sales Manager,17,98717,2,4,3,0,1
45,HR,Bachelors,HR Executive,17,43256,5,3,2,1,2
41,IT,Diploma,Data Analyst,1,36064,4,1,4,0,1
32,Finance,Masters,Finance Analyst,2,25544,2,2,2,0,2
40,IT,MBA,System Analyst,8,67146,2,4,3,0,1
36,Operations,Masters,Operations Manager,13,101010,6,2,2,1,2
30,HR,MBA,HR Manager,2,75188,2,1,1,0,1
53,Operations,Masters,Operations Manager,23,67630,3,3,3,0,3
48,Sales,Masters,Sales Manager,26,45947,4,2,1,0,1
28,HR,MBA,HR Manager,1,92879,6,4,3,1,1
24,IT,Bachelors,Data Analyst,3,38472,1,3,1,0,1
27,IT,MBA,Data Analyst,6,25326,4,1,4,1,3
40,Finance,Diploma,Finance Analyst,15,25800,2,1,2,1,2
28,IT,MBA,System Analyst,3,108051,6,1,2,0,2
50,HR,MBA,HR Executive,20,59855,3,4,3,1,3
33,Sales,Diploma,Sales Executive,1,100356,4,3,3,0,1
23,Finance,Masters,Accountant,0,109564,5,4,1,0,1
24,IT,Masters,Software Engineer,2,94471,2,3,2,1,2
32,HR,MBA,HR Executive,2,62587,3,2,1,1,1
46,Finance,MBA,Accountant,17,32863,2,1,1,1,1
49,HR,Masters,HR Manager,3,77247,1,1,3,1,1
55,Sales,Bachelors,Sales Manager,26,84291,3,4,2,1,2
46,Finance,Masters,Accountant,15,102203,3,4,2,1,2
53,Operations,Bachelors,Operations Manager,1,83697,4,2,3,0,1
40,Finance,Masters,Finance Analyst,19,60543,2,4,2,1,2
28,Sales,MBA,Sales Executive,3,84576,6,2,4,0,3
55,HR,Bachelors,HR Executive,22,42102,2,2,2,0,2
56,Operations,MBA,Operations Manager,7,68257,6,2,3,1,3
40,Operations,MBA,Operations Manager,19,60780,6,1,2,1,2
55,Finance,Masters,Accountant,4,73311,2,4,3,0,1
43,HR,Masters,HR Executive,10,26622,2,4,3,0,1
42,HR,MBA,HR Executive,20,30300,1,2,4,0,1
52,Sales,Bachelors,Sales Manager,12,79508,4,4,4,1,3
37,Operations,Bachelors,Operations Executive,4,50692,4,2,4,1,3
43,Finance,Diploma,Accountant,21,103879,1,3,3,0,1
26,HR,MBA,HR Manager,0,32429,5,1,2,0,2
47,Sales,Diploma,Sales Manager,12,26633,4,2,1,0,1
43,IT,Diploma,Data Analyst,13,74068,2,4,4,0,1
44,IT,Masters,Data Scientist,4,88345,2,4,2,1,2
41,IT,MBA,System Analyst,10,54097,2,3,1,0,1
40,Sales,MBA,Sales Manager,13,95628,6,3,3,1,3
51,IT,Diploma,Data Scientist,12,105056,6,2,1,0,1
55,HR,Masters,HR Executive,29,32277,1,2,4,1,1
45,HR,MBA,HR Executive,18,31043,4,4,2,0,2
56,IT,MBA,System Analyst,5,35266,4,1,1,1,1
39,HR,Diploma,HR Executive,5,37211,1,1,4,1,1
22,Operations,Bachelors,Operations Executive,0,43311,5,3,2,0,2
25,IT,Bachelors,Data Analyst,4,94311,3,3,1,0,1
42,Operations,Diploma,Operations Manager,3,117966,5,2,3,0,3
46,Finance,Bachelors,Accountant,6,60499,2,2,2,0,2
43,IT,Masters,Data Scientist,6,57180,4,4,3,0,3
31,IT,Bachelors,Software Engineer,3,82206,3,2,3,0,3
58,Finance,Bachelors,Accountant,26,66180,3,1,4,1,3
39,Operations,Bachelors,Operations Executive,7,119620,3,2,1,0,1
41,Sales,MBA,Sales Executive,12,114176,3,1,1,1,1
23,Sales,MBA,Sales Executive,0,38844,6,4,2,0,2
58,Finance,MBA,Accountant,17,58534,5,1,4,0,3
23,Operations,Bachelors,Operations Manager,1,55378,3,3,1,1,1
27,Operations,Masters,Operations Executive,1,88387,6,2,3,1,1
29,IT,Diploma,Data Scientist,4,115143,1,2,3,0,1
53,HR,Masters,HR Executive,27,45830,4,3,4,0,3
31,IT,Masters,Data Analyst,3,33600,4,3,3,0,3
56,IT,Diploma,System Analyst,12,119431,3,2,3,0,3
51,HR,Masters,HR Executive,12,108603,6,3,1,1,1
22,Finance,Bachelors,Finance Analyst,1,53673,6,3,3,0,1
49,Finance,Masters,Finance Analyst,23,60555,4,2,4,0,3
55,Sales,Diploma,Sales Manager,16,53580,6,1,4,1,3
31,HR,Masters,HR Manager,4,87611,1,3,3,0,1
45,Finance,MBA,Accountant,23,108057,3,3,1,1,1
41,Finance,Bachelors,Finance Analyst,9,88275,4,3,1,1,1
29,HR,Diploma,HR Manager,0,105097,6,3,4,1,1
43,Operations,Masters,Operations Executive,8,68881,6,1,2,1,2
26,IT,Bachelors,Data Scientist,1,65243,5,2,4,1,1
51,Operations,MBA,Operations Manager,1,98838,6,2,4,0,1
45,Sales,MBA,Sales Executive,10,31244,6,2,2,1,2
41,IT,Bachelors,Data Scientist,1,99515,4,2,4,0,1
51,IT,MBA,Data Analyst,22,118529,5,3,4,0,3
36,Sales,Masters,Sales Executive,15,92634,4,2,4,1,3
22,Finance,Masters,Accountant,1,58113,3,4,4,0,1
43,Operations,Diploma,Operations Executive,15,110643,2,4,2,0,2
54,Sales,Masters,Sales Manager,22,99086,1,3,1,1,1
58,Sales,Masters,Sales Manager,13,88720,2,1,4,1,1
25,Operations,MBA,Operations Manager,0,32572,4,4,1,0,1
34,Operations,MBA,Operations Manager,10,52446,1,1,2,0,2
45,Finance,MBA,Finance Analyst,15,21100,3,3,2,0,2
29,Operations,Masters,Operations Executive,1,32613,4,1,3,1,1
23,Finance,Masters,Accountant,2,93371,4,2,2,0,2
30,IT,MBA,System Analyst,1,44671,5,4,2,0,2
55,Operations,Diploma,Operations Executive,24,73414,5,3,2,1,2
58,IT,Masters,Software Engineer,3,48061,4,3,1,1,1
24,Sales,Masters,Sales Manager,3,27760,5,1,4,1,3
55,Sales,Bachelors,Sales Manager,24,76014,4,3,3,1,3
27,HR,Diploma,HR Manager,4,114013,6,4,2,1,2
58,IT,Bachelors,System Analyst,0,20210,4,1,2,0,2
54,IT,Bachelors,Software Engineer,32,81561,4,4,4,1,3
52,Finance,Masters,Accountant,17,29223,2,1,1,1,1
49,Operations,MBA,Operations Manager,10,64442,3,2,2,1,2
52,HR,Masters,HR Manager,25,21973,5,4,4,0,3
42,Finance,Diploma,Finance Analyst,16,59598,3,3,4,1,3
26,Finance,Diploma,Finance Analyst,5,45823,3,2,2,1,2
51,Finance,Masters,Accountant,1,43114,3,1,1,0,1
24,Sales,Masters,Sales Manager,0,95216,4,3,1,0,1
29,Operations,Bachelors,Operations Manager,5,56105,1,2,3,1,1
28,HR,Masters,HR Manager,3,89117,6,1,3,0,3
44,HR,MBA,HR Executive,16,89087,1,4,1,1,1
31,Finance,Masters,Finance Analyst,7,27924,5,3,4,1,3
34,HR,Bachelors,HR Manager,3,74297,4,2,3,0,3
58,IT,Bachelors,Data Scientist,6,100262,3,3,4,0,3
29,HR,Masters,HR Executive,2,107911,3,4,4,0,1
53,Finance,Bachelors,Finance Analyst,22,57491,4,2,4,0,3
39,Sales,Bachelors,Sales Manager,1,109117,3,1,4,0,1
42,IT,Bachelors,Data Analyst,20,29876,1,1,3,1,1
42,HR,Masters,HR Manager,12,64494,2,1,1,0,1
46,Sales,Diploma,Sales Manager,11,113387,6,1,3,1,3
45,Finance,Bachelors,Finance Analyst,24,65076,4,1,4,0,3
39,IT,Masters,System Analyst,6,70963,2,4,4,0,1
37,Finance,Masters,Finance Analyst,8,117165,5,1,3,1,3
46,Sales,Masters,Sales Manager,2,26090,5,3,4,0,1
56,Sales,Masters,Sales Manager,28,100567,6,3,1,1,1
35,Operations,MBA,Operations Manager,0,105637,5,1,1,0,1
45,Sales,Masters,Sales Executive,22,74660,6,1,2,0,2
31,HR,MBA,HR Executive,8,58019,1,2,2,1,2
26,Finance,Masters,Finance Analyst,3,90291,3,2,2,0,2
56,Sales,Diploma,Sales Manager,15,57775,4,4,2,0,2
33,Sales,Diploma,Sales Executive,0,44575,4,4,4,1,1
37,Finance,Bachelors,Finance Analyst,7,119291,4,4,2,0,2
42,IT,Masters,Data Analyst,1,91963,2,3,3,0,1
31,Sales,MBA,Sales Executive,4,77862,6,4,1,1,1
30,IT,Masters,Data Scientist,6,106348,5,3,2,1,2
44,IT,MBA,System Analyst,1,110173,2,1,4,1,1
44,HR,MBA,HR Executive,22,27637,2,3,3,1,1
34,Sales,Diploma,Sales Executive,2,20125,3,3,3,1,1
37,Finance,MBA,Finance Analyst,3,22975,6,1,1,0,1
37,Operations,MBA,Operations Manager,6,39219,1,2,4,0,1
22,Operations,MBA,Operations Manager,1,109067,2,2,4,0,1
29,Sales,MBA,Sales Executive,1,21544,1,3,3,1,1
24,IT,Masters,Software Engineer,2,99572,4,1,4,0,1
54,HR,MBA,HR Executive,32,109686,2,3,2,0,2
45,IT,MBA,Software Engineer,2,49225,2,3,4,0,1
52,Operations,Bachelors,Operations Executive,3,57029,1,3,1,0,1
22,Operations,Diploma,Operations Manager,0,66978,1,3,1,0,1
28,IT,MBA,Data Analyst,3,104880,2,3,3,0,1
46,HR,Masters,HR Executive,3,83687,6,2,4,0,3
57,Finance,Diploma,Accountant,31,64122,5,2,2,1,2
41,Sales,Masters,Sales Executive,17,87502,3,3,2,0,2
22,Sales,Diploma,Sales Manager,0,57534,1,1,2,1,2
39,IT,MBA,Data Scientist,0,116407,6,1,4,1,1
37,HR,Masters,HR Manager,16,29689,1,4,3,0,1
47,IT,Diploma,Data Scientist,21,48633,2,4,2,0,2
28,HR,MBA,HR Executive,1,54823,2,3,4,0,1
44,Sales,Bachelors,Sales Manager,7,105500,3,2,4,0,3
56,Operations,Masters,Operations Manager,8,75024,1,1,4,0,1
22,Sales,Masters,Sales Manager,0,52829,1,2,1,1,1
42,Operations,Masters,Operations Manager,21,74303,6,3,1,1,1
52,IT,Diploma,System Analyst,10,49450,5,3,4,1,3
25,IT,MBA,Data Analyst,2,52153,4,1,2,1,2
24,Operations,Masters,Operations Manager,3,55382,4,1,3,1,3
39,IT,MBA,System Analyst,14,56178,3,4,4,1,3
43,Operations,Masters,Operations Executive,22,67038,5,2,2,0,2
23,Operations,Bachelors,Operations Executive,2,54065,4,3,3,1,1
49,Operations,Bachelors,Operations Manager,15,58564,6,3,4,0,3
26,Finance,Masters,Accountant,3,58288,3,2,3,0,3
47,Operations,Bachelors,Operations Executive,23,89582,6,4,2,1,2
44,Sales,MBA,Sales Manager,20,38570,2,4,4,1,1
43,Operations,Bachelors,Operations Manager,19,72160,3,3,3,1,3
43,Sales,MBA,Sales Manager,9,59070,1,4,4,1,1
27,Sales,Masters,Sales Manager,2,65977,6,1,1,0,1
51,IT,MBA,Software Engineer,9,89860,3,2,2,1,2
45,Sales,MBA,Sales Manager,13,47704,3,3,3,0,3
32,Operations,Bachelors,Operations Executive,11,66306,2,3,4,0,1
27,Finance,Bachelors,Accountant,3,65917,5,2,1,0,1
45,IT,Bachelors,Software Engineer,12,76754,1,4,3,1,1
22,Finance,Bachelors,Accountant,1,41485,3,2,4,0,1
45,IT,Masters,Data Analyst,23,107858,6,2,1,0,1
40,Sales,Masters,Sales Executive,2,110824,2,4,4,1,1
22,IT,Bachelors,System Analyst,1,48905,1,3,3,1,1
47,Sales,Diploma,Sales Executive,24,100550,5,3,2,1,2
49,HR,Bachelors,HR Executive,2,101393,5,3,2,0,2
46,Sales,Diploma,Sales Manager,0,30874,4,3,2,1,2
52,Finance,Bachelors,Finance Analyst,11,117751,6,2,2,0,2
